=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:14:50
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 8.61kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 8.96kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 9.04kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 9.14kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 8.75kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 8.93kB/s]
 95%|█████████▌| 7.10k/7.45k [00:00<00:00, 7.07kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 6.25kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.1395846, 0.1962798) / 角速度 Matrix([
    [  -0.027],
    [   0.054],
    [  -0.018],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,2080,40667,-41322,-2483,409,2186,5324,884,-891,0
T,2100,41154,-41816,-2473,-268,1417,7258,894,-901,0
T,2120,41639,-42309,-2453,603,1786,10910,905,-911,0
T,2140,42126,-42804,-2508,1947,1487,10793,916,-920,0
T,2160,42619,-43305,-2520,793,3377,13733,927,-930,0
T,2180,43115,-43810,-2519,1705,-2177,2940,938,-939,0
T,2200,43609,-44311,-2499,1563,1202,11555,948,-949,0
T,2220,44103,-44813,-2519,-576,2344,15581,959,-959,0
T,2240,44599,-45317,-2520,-661,694,5639,969,-970,0
T,2260,45097,-45823,-2552,-1455,4402,9281,980,-981,0
T,2280,45597,-46331,-2561,-3156,6352,9594,991,-991,0
T,2300,46098,-46840,-2543,-739,1398,5386,1002,-1002,0
T,2320,46632,-47383,-2586,65,1204,5804,1013,-1013,0
T,2340,47140,-47899,-2585,-232,2339,7748,1023,-1024,0
T,2360,47646,-48413,-2530,-142,4124,6048,1034,-1036,0
T,2380,48149,-48924,-2559,1124,679,11197,1044,-1047,0
T,2400,48651,-49434,-2557,1613,-2606,32,1054,-1058,0
T,2420,49153,-49944,-2547,-976,6297,13224,1065,-1070,0
T,2440,49652,-50452,-2525,-1827,3992,10886,1077,-1081,0
T,2460,50152,-50959,-2562,1435,-1392,8782,1087,-1092,0
T,2480,50652,-51468,-2540,-1753,2634,5880,1098,-1102,0
T,2500,51153,-51977,-2556,-1192,2876,8304,1108,-1112,0
T,2520,51656,-52488,-2564,39,2402,9525,1118,-1123,0
T,2540,52159,-52999,-2559,-239,701,6449,1128,-1133,0
T,2560,52661,-53509,-2559,1722,54,7342,1138,-1143,0
T,2580,53167,-54023,-2593,1523,2280,9114,1150,-1153,0
T,2600,53678,-54542,-2618,-201,-1547,7774,1161,-1164,0
T,2620,54189,-55062,-2615,731,483,9341,1173,-1174,0
T,2640,54704,-55585,-2629,764,1523,8856,1183,-1186,0
T,2660,55218,-56107,-2609,2257,-867,9393,1193,-1197,0
T,2680,55727,-56624,-2579,1996,-1121,12233,1204,-1209,0
T,2700,56235,-57141,-2600,1108,1118,12441,1215,-1221,0
T,2720,56745,-57659,-2581,260,335,11786,1225,-1232,0
T,2740,57249,-58171,-2544,1075,1844,11624,1235,-1243,0
T,2760,57751,-58711,-2570,-126,2423,8639,1245,-1254,0
T,2780,58285,-59223,-2561,-1135,1420,12085,1256,-1264,0
T,2800,58786,-59732,-2531,1165,4021,9276,1267,-1274,0
T,2820,59283,-60238,-2547,-457,2577,12173,1277,-1283,0
T,2840,59784,-60747,-2556,243,2874,12503,1288,-1292,0
T,2860,60287,-61257,-2579,-175,1578,11101,1299,-1303,0
T,2880,60792,-61771,-2587,-370,1089,8538,1309,-1312,0
T,2900,61301,-62288,-2587,72,3235,10671,1320,-1322,0
T,2920,61807,-62802,-2565,-2279,5846,14707,1330,-1333,0
T,2940,62312,-63316,-2582,-896,8230,19090,1340,-1343,0
T,2960,62821,-63833,-2577,-2877,1750,14299,1351,-1354,0
T,2980,63331,-64351,-2602,-2727,2311,6723,1363,-1364,0
T,3000,63842,-64870,-2600,-1967,2282,8238,1373,-1375,0
T,3020,64356,-65392,-2611,992,972,11481,1384,-1385,0
T,3040,64865,-65909,-2552,-1723,-3042,3060,1393,-1396,0
T,3060,65370,-66422,-2596,-164,564,8849,1403,-1407,0
T,3080,65873,-66934,-2559,906,-242,8302,1413,-1418,0
T,3100,66374,-67443,-2530,-434,-1298,2331,1424,-1429,0
T,3120,66868,-67945,-2488,-123,3631,12484,1434,-1440,0
T,3140,67356,-68440,-2476,-318,270,5785,1445,-1450,0
T,3160,67840,-68932,-2447,2295,727,12324,1455,-1461,0
T,3180,68320,-69420,-2452,87,3729,17000,1465,-1471,0
T,3200,68801,-69938,-2450,1447,804,11063,1475,-1481,0
T,3220,69313,-70429,-2461,790,-1207,6024,1485,-1491,0
T,3240,69795,-70918,-2461,-450,1556,8400,1496,-1501,0
T,3260,70280,-71412,-2493,-1540,6033,13160,1506,-1511,0
T,3280,70772,-71911,-2506,499,1036,8424,1517,-1522,0
T,3300,71265,-72412,-2521,-960,2399,15388,1528,-1531,0
T,3320,71760,-72916,-2539,2105,1087,10136,1539,-1543,0
T,3340,72260,-73424,-2531,271,3139,4851,1550,-1554,0
T,3360,72758,-73930,-2529,-372,3096,11755,1560,-1566,0
T,3380,73255,-74435,-2532,-83,2179,7392,1570,-1577,0
T,3400,73753,-74940,-2545,437,-146,9881,1581,-1589,0
T,3420,74247,-75442,-2521,127,3257,15476,1592,-1600,0
T,3440,74739,-75942,-2492,4,3961,9424,1601,-1611,0
T,3460,75231,-76442,-2504,371,1841,5582,1612,-1620,0
T,3480,75720,-76939,-2469,447,3300,6666,1623,-1630,0
T,3500,76202,-77429,-2453,-761,6392,15354,1634,-1640,0
T,3520,76688,-77923,-2474,674,-682,9766,1645,-1649,0
T,3540,77177,-78419,-2481,428,5343,12828,1656,-1658,0
T,3560,77664,-78915,-2485,2376,191,12672,1666,-1668,0
T,3580,78154,-79413,-2501,-1889,852,15338,1677,-1678,0
T,3600,78644,-79911,-2490,125,-117,5238,1686,-1688,0
T,3620,79136,-80410,-2489,888,5247,16759,1697,-1698,0
T,3640,79627,-80909,-2527,440,1784,12859,1708,-1708,0
T,3660,80120,-81440,-2511,2558,478,6091,1719,-1719,0
T,3680,80643,-81942,-2526,-1235,6826,16245,1731,-1729,0
T,3700,81140,-82446,-2548,-2753,5118,8467,1741,-1740,0
T,3720,81639,-82954,-2550,-1531,3508,13081,1751,-1752,0
T,3740,82138,-83461,-2543,-28,-685,7834,1761,-1763,0
T,3760,82638,-83968,-2566,769,1082,7894,1771,-1774,0
T,3780,83137,-84475,-2537,-1938,3623,16252,1783,-1785,0
T,3800,83632,-84979,-2515,-1938,1556,8999,1794,-1797,0
T,3820,84126,-85481,-2527,-2964,1388,10671,1804,-1808,0
T,3840,84619,-85981,-2499,354,2220,8689,1815,-1819,0
T,3860,85108,-86479,-2483,-256,2727,5603,1825,-1829,0
T,3880,85599,-86978,-2508,-443,941,10339,1835,-1839,0
T,3900,86093,-87480,-2522,-1118,1144,6781,1845,-1850,0
T,3920,86589,-87983,-2527,255,1865,8725,1856,-1860,0
T,3940,87089,-88491,-2561,-69,921,12551,1867,-1870,0
T,3960,87593,-89003,-2584,1056,33,8990,1878,-1881,0
T,3980,88098,-89517,-2598,1392,742,17363,1889,-1891,0
T,4000,88610,-90037,-2609,-687,2368,9286,1900,-1903,0
T,4020,89126,-90561,-2606,-1749,5726,10454,1911,-1914,0
T,4040,89635,-91079,-2588,-1611,4483,15457,1922,-1926,0
T,4060,90143,-91595,-2610,-1083,4481,12598,1933,-1937,0
T,4080,90651,-92111,-2550,-1377,5393,13446,1943,-1949,0
T,4100,91155,-92653,-2548,-1083,4720,8792,1953,-1961,0
T,4120,91689,-93165,-2571,359,2512,12145,1964,-1972,0
T,4140,92195,-93680,-2582,-474,2366,10931,1973,-1982,0
T,4160,92702,-94194,-2585,1305,2385,12073,1984,-1992,0
T,4180,93210,-94711,-2609,651,450,8830,1996,-2002,0
T,4200,93724,-95233,-2630,1011,732,10590,2007,-2011,0
